

报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),146406,159025,151159,155726,98918,117938,120150,121495,79123,109902,118413,120928,62158,85803,90062,89830,45277,56918,54494,47753,26235,38969,39802,31961,17783,22848,23543,25099,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,3,--,--,--,0,--,--,--,0,
应收账款(万元),1817,16523,14226,6756,1788,13720,12253,11527,1060,1002,1278,550,1262,1522,842,352,1160,1682,997,584,2066,2090,1937,1302,1214,2338,662,1667,
预付款项(万元),8683,5679,2397,2955,11750,9878,9874,8044,6784,7487,4354,5152,7821,6255,2101,3214,2106,3107,1501,898,1739,2185,897,2150,1891,1958,3820,3954,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收利息(万元),1693,1489,1425,656,1769,1362,1024,628,1138,920,827,475,455,285,469,196,247,129,405,158,268,238,95,108,14,13,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他应收款(万元),1618,1500,1688,1185,1480,1276,1224,1004,1142,997,1267,877,753,1023,1355,1296,1129,1039,2307,3004,1349,1036,1718,763,1337,1772,1935,1069,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,--,--,--,--,--,0,--,--,--,0,
